,SRR1550981,SRR1551053,SRR1551060,SRR1551074
12:10316663:+,31,30,29,27
12:10316676:+,29,21,33,25
12:10318784:+,37,33,26,26
12:108591202:-,39,31,43,26
12:112971005:+,28,37,29,37
12:113390110:+,31,32,26,30
12:113390120:+,25,26,31,25
12:113391119:+,37,23,22,23
12:120093527:+,23,26,33,36
12:120461139:+,29,30,21,29
12:122769109:+,28,29,34,30
12:122769131:+,21,30,18,29
12:122981653:+,36,36,36,28
12:123661824:+,26,30,29,25
12:124911941:-,34,21,24,23
12:131922591:+,29,37,25,26
12:132721369:+,31,36,32,26
12:132721508:+,34,31,26,27
12:132721836:+,33,38,29,41
12:132769999:-,25,24,25,25
12:2825793:+,24,37,28,28
12:43787631:+,32,22,22,34
12:43787801:+,17,27,31,30
12:48342785:-,28,23,24,37
12:48342826:-,28,29,28,29
12:48937441:-,29,31,27,21
12:48938460:-,34,25,34,32
12:49763964:+,28,31,31,30
12:49763989:+,27,28,26,35
12:50930379:+,24,37,22,30
12:50930408:+,29,29,26,37
12:50930474:+,30,33,33,32
12:50930529:+,29,25,24,28
12:50930539:+,48,32,32,29
12:50930652:+,44,33,38,22
12:50930712:+,36,30,31,29
12:50930722:+,46,24,45,37
12:50930855:+,23,31,33,29
12:50931454:+,28,21,35,40
12:50931522:+,15,25,25,23
12:50931589:+,24,39,32,35
12:50931606:+,27,25,42,35
12:50931635:+,24,32,29,34
12:50931656:+,41,22,30,30
12:68843232:+,29,31,32,38
12:68843262:+,32,29,37,27
12:68843275:+,28,36,34,25
12:68843292:+,23,32,38,23
12:68843296:+,26,33,28,23
12:68843753:+,27,31,20,35
12:68843777:+,36,36,28,29
12:68843947:+,25,27,23,27
12:7094837:-,25,40,32,35
12:71702798:+,21,30,28,31
12:98548842:+,22,38,28,27
12:98548864:+,26,24,42,36
12:98549026:+,24,36,39,33
12:98549061:+,25,45,29,26
12:98549106:+,35,36,25,36
12:98549232:+,28,28,24,30
12:98549317:+,32,28,26,34
12:98549324:+,29,24,26,26
12:98549370:+,26,41,25,28
12:98549422:+,24,35,39,36
12:98733532:+,27,34,34,37
12:98733667:+,34,34,22,30
12:98733685:+,31,26,33,24
12:98733695:+,27,21,37,35
12:98734992:+,27,27,33,34
12:98734997:+,30,27,42,34
12:98735013:+,37,38,30,26
13:19672218:+,33,34,30,32
13:19672261:+,27,38,27,25
13:19672882:+,22,23,31,32
13:19672883:+,32,34,27,24
13:19672934:+,26,26,27,37
13:21374316:-,35,25,39,31
13:21374320:-,31,32,23,33
13:21374436:-,20,28,25,34
13:21374437:-,36,34,30,40
13:21374484:-,30,34,30,39
13:21374507:-,29,25,35,24
13:21374515:-,27,29,30,25
13:21374876:-,26,32,40,30
13:21374915:-,27,26,31,30
13:21374953:-,28,27,23,37
13:21375011:-,25,31,27,33
13:21375051:-,19,31,37,32
13:21375057:-,29,38,23,33
13:21375071:-,30,30,25,27
13:95793723:+,32,34,30,26
14:105049499:-,25,29,25,42
14:105049512:-,31,37,32,31
14:105049679:-,34,29,34,24
14:105049696:-,29,34,37,37
14:20366227:-,26,21,27,30
14:20366228:-,26,36,36,30
14:20366332:-,23,17,23,29
14:20366333:-,26,32,32,29
14:20366932:-,36,30,27,22
14:20366936:-,41,32,26,29
14:20366961:-,23,29,27,23
14:20366979:-,42,30,29,26
14:20367026:-,37,26,28,27
14:20367030:-,28,33,33,28
14:20367118:-,34,28,31,38
14:23296548:-,22,34,32,27
14:52642958:-,30,24,26,22
14:52642959:-,26,26,28,27
14:52643091:-,21,25,30,27
14:52643106:-,38,27,35,33
14:58372551:+,32,21,29,29
14:64483589:-,28,37,38,27
14:64484498:-,29,30,27,29
14:74735608:+,36,30,36,22
14:74736152:+,34,32,20,26
14:76205038:+,38,27,34,23
14:89160383:-,37,40,42,28
14:89160386:-,29,38,33,27
14:95185096:-,23,28,27,28
14:95186642:-,28,26,28,30
14:95415466:-,28,45,39,19
15:34231141:-,29,31,34,32
15:34231314:-,34,37,31,37
15:34231354:-,29,27,25,38
15:34231360:-,25,32,27,34
15:34231407:-,42,29,29,30
15:34231474:-,32,28,27,24
15:34231649:-,30,14,28,25
15:34231665:-,31,31,36,29
15:34231694:-,37,31,24,34
15:34231727:-,34,21,25,29
15:34231753:-,30,36,30,33
15:34231975:-,26,28,29,27
15:34232287:-,28,37,23,36
15:34232343:-,23,34,31,28
15:34232454:-,26,22,32,35
15:34232506:-,31,27,29,30
15:41900146:-,25,22,35,38
15:42531589:+,20,32,36,31
15:42532147:+,31,29,25,30
15:42532296:+,18,31,33,32
15:43794609:+,32,32,26,37
15:45482003:-,21,25,36,31
15:49126658:-,29,34,28,23
15:49126926:-,28,30,22,36
15:58184800:+,22,44,38,31
15:64154841:+,36,42,26,30
15:64154928:+,29,22,25,23
15:64154936:+,31,24,28,39
15:64155080:+,36,32,33,43
15:64155171:+,35,30,27,30
15:64155184:+,47,27,31,26
15:64155196:+,29,32,34,32
15:64155224:+,16,34,31,33
15:64155236:+,20,27,29,32
15:64155268:+,21,28,29,32
15:64155432:+,33,30,26,25
15:64155441:+,31,31,26,21
15:84641813:-,38,30,29,36
15:84641973:-,34,31,26,34
15:84642182:-,33,29,28,22
15:84642201:-,36,28,30,38
15:84642217:-,31,32,28,31
15:89196030:+,29,34,23,26
15:89196098:+,25,26,42,37
15:89196116:+,36,28,33,28
15:93027251:+,33,38,24,47
16:10924260:+,26,37,30,28
16:10925418:+,24,35,28,31
16:10926740:+,26,24,33,24
16:10928388:+,28,25,30,25
16:10928417:+,36,37,33,32
16:10928470:+,22,29,24,38
16:10931042:+,34,32,26,22
16:10931068:+,32,25,33,40
16:10931069:+,36,36,32,33
16:10931085:+,19,22,27,24
16:10931104:+,33,26,29,26
16:10931114:+,29,25,29,33
16:10931207:+,32,28,35,29
16:10931213:+,25,25,35,28
16:10931217:+,36,33,34,29
16:10931231:+,27,29,28,40
16:10931236:+,32,22,26,30
16:10931257:+,24,31,31,22
16:10931609:+,32,48,32,28
16:10931633:+,28,46,40,33
16:10931691:+,30,29,24,19
16:10931699:+,33,28,31,31
16:10931735:+,33,27,26,36
16:10931759:+,26,27,30,24
16:10931768:+,26,22,26,27
16:10931779:+,31,29,23,30
16:10931796:+,32,32,22,19
16:10931799:+,19,24,27,31
16:10931822:+,33,36,26,21
16:10931865:+,31,34,26,42
16:10932756:+,27,28,30,27
16:10932790:+,26,32,35,26
16:10932804:+,32,24,28,35
16:10932816:+,29,39,38,32
16:10932871:+,32,32,25,32
16:10932885:+,26,28,28,34
16:10936195:+,36,27,32,25
16:12660855:-,33,34,25,31
16:12660894:-,29,21,26,43
16:12660924:-,32,27,27,34
16:12661027:-,29,24,26,24
16:12661105:-,27,24,31,29
16:21640034:-,21,34,36,35
16:21640137:-,27,36,34,37
16:21640166:-,28,24,20,39
16:21640183:-,23,32,21,20
16:21640210:-,33,37,41,30
16:21640237:-,19,23,24,31
16:21640484:-,32,31,39,40
16:21640666:-,22,27,35,23
16:21640719:-,28,26,26,34
16:21640720:-,23,33,32,29
16:21640733:-,30,24,43,28
16:21640740:-,38,39,22,27
16:21640764:-,37,26,22,31
16:21641222:-,20,20,27,24
16:23463780:-,42,32,33,30
16:23463960:-,27,33,26,24
16:23465152:-,32,21,27,31
16:23465256:-,34,30,41,34
16:27450664:+,19,32,40,31
16:29665078:+,26,34,21,33
16:29667654:+,32,28,30,41
16:29667730:+,28,30,26,27
16:29668040:+,24,30,35,35
16:29668110:+,14,16,30,31
16:29668200:+,33,27,31,27
16:29668228:+,33,23,38,37
16:29668306:+,30,29,26,40
16:29668480:+,25,29,23,48
16:29668509:+,20,33,20,30
16:29668636:+,37,30,30,33
16:29668699:+,30,27,32,37
16:29668712:+,33,23,21,31
16:29668883:+,20,27,26,37
16:29668892:+,33,27,33,29
16:29668965:+,34,32,29,31
16:29669100:+,31,40,29,36
16:29669600:+,33,33,25,31
16:29669949:+,37,23,34,28
16:29669981:+,29,34,30,33
16:29670009:+,39,32,31,30
16:29670049:+,22,30,22,36
16:29670138:+,18,30,33,25
16:29670200:+,23,38,38,27
16:29670367:+,37,27,26,30
16:29670438:+,32,34,39,37
16:3242105:-,36,34,27,27
16:3242117:-,36,34,28,39
16:3242132:-,28,35,35,35
16:3242199:-,42,26,30,41
16:3242489:-,23,25,33,32
16:48352383:+,32,28,32,29
16:48352442:+,33,38,32,32
16:48352443:+,31,36,35,26
16:48352578:+,36,27,26,27
16:48353398:+,27,27,24,37
16:48354482:+,38,25,25,28
16:50105571:+,28,26,27,26
16:50673292:-,34,29,24,32
16:57683958:+,21,34,27,38
16:67546369:+,31,19,27,29
16:69702643:+,37,34,40,32
16:70379917:-,37,44,33,31
16:75445495:-,26,35,25,37
16:75445992:-,21,26,27,21
16:75446008:-,29,29,26,40
16:75446074:-,21,30,33,33
16:89563497:+,35,33,21,40
16:89563617:+,30,44,27,25
17:1005526:-,31,32,29,27
17:1572942:-,33,31,31,29
17:1573050:-,29,33,35,31
17:1573080:-,34,26,41,30
17:17186597:+,29,26,33,35
17:17186611:+,33,32,44,34
17:17186660:+,25,29,28,32
17:29551047:+,35,33,29,33
17:3035658:+,42,31,32,28
17:30958767:+,22,34,48,40
17:31534384:+,23,30,40,27
17:31534509:+,23,23,33,28
17:35010639:-,31,30,37,28
17:35010995:-,30,33,25,27
17:35271156:+,25,31,30,30
17:35439591:-,30,27,30,20
17:35468033:-,24,25,37,29
17:35468168:-,41,20,22,27
17:35468774:-,33,27,30,29
17:35468784:-,43,30,20,18
17:35468795:-,30,21,31,28
17:35468880:-,25,21,25,21
17:35468891:-,27,34,37,31
17:35468903:-,30,24,26,40
17:35468906:-,31,26,21,25
17:35473996:-,27,32,30,30
17:35474731:-,32,23,27,28
17:35474922:-,29,30,25,28
17:37515695:-,42,31,28,24
17:38919642:+,26,39,28,29
17:3897601:-,32,23,28,34
17:39759158:-,31,31,20,22
17:39759180:-,36,25,31,26
17:39759293:-,31,39,34,39
17:39759298:-,27,35,35,31
17:39759353:-,27,42,38,30
17:39759377:-,34,29,30,30
17:39759379:-,33,28,30,29
17:39760207:-,26,29,31,39
17:39760536:-,29,30,37,32
17:39760560:-,31,35,32,34
17:39760595:-,33,39,22,20
17:39760596:-,21,31,26,24
17:39760920:-,25,22,34,24
17:39760965:-,29,33,29,31
17:39761010:-,33,24,27,25
17:39761057:-,32,31,49,34
17:39761068:-,20,28,31,30
17:39761076:-,34,37,27,24
17:39761469:-,36,43,26,33
17:39761473:-,29,35,25,28
17:39761481:-,26,32,38,39
17:39761495:-,21,20,36,29
17:39761516:-,30,29,31,41
17:39761549:-,30,26,40,37
17:39761885:-,36,32,25,19
17:39761941:-,22,20,36,30
17:39761977:-,23,31,30,24
17:39762027:-,33,38,42,30
17:39762629:-,25,34,30,23
17:39763882:-,26,30,31,34
17:39763950:-,38,30,25,27
17:39763964:-,34,25,30,28
17:39763990:-,24,24,35,29
17:39764007:-,39,37,28,34
17:39764206:-,26,30,27,32
17:39764280:-,31,24,25,27
17:39764368:-,36,31,36,26
17:39764402:-,22,28,31,32
17:39764407:-,30,23,29,24
17:39764418:-,24,39,32,30
17:42702335:-,31,29,35,37
17:43218105:+,35,26,30,26
17:440932:-,30,32,23,28
17:441919:-,34,31,37,22
17:441981:-,29,35,21,34
17:441991:-,34,25,35,32
17:48121400:+,30,23,18,28
17:49831007:+,34,20,26,35
17:56891473:-,26,24,34,31
17:63694744:+,27,24,37,36
17:64321539:-,30,33,33,30
17:64321638:-,32,25,34,29
17:64321677:-,27,33,37,37
17:64322853:-,33,27,23,29
17:64322879:-,32,22,37,24
17:64322885:-,26,27,32,27
17:64322886:-,24,25,30,39
17:64322996:-,27,36,23,29
17:64468388:+,38,31,29,31
17:6774884:+,36,37,24,33
17:7246055:-,22,41,34,26
17:75889325:-,37,29,28,28
17:75889857:-,30,27,23,21
17:75890130:-,24,35,32,31
17:75943360:-,27,30,29,26
17:75943521:-,20,35,32,27
17:75943995:-,27,39,33,23
17:75944038:-,25,35,20,29
17:75944149:-,37,24,28,40
17:75944151:-,30,40,29,33
17:75944358:-,25,32,29,26
17:75944793:-,39,27,23,30
17:75944836:-,27,24,36,29
17:75944850:-,36,28,29,30
17:75944877:-,30,29,25,31
17:75945012:-,34,33,28,24
17:75945017:-,31,33,27,20
17:75945026:-,22,37,26,28
17:78109578:-,23,23,25,35
17:78110521:-,29,30,26,33
17:7911910:+,26,29,29,33
17:81681339:-,30,25,28,23
17:81681365:-,32,22,25,29
17:8224975:-,33,25,30,33
18:32068939:+,37,33,22,28
18:32068940:+,27,34,39,28
18:32068983:+,26,30,25,34
18:32069035:+,34,35,32,28
18:32069053:+,32,37,30,31
18:32069157:+,33,25,25,37
18:32070101:+,28,24,30,25
18:32070140:+,28,32,27,31
18:32070205:+,29,39,27,27
18:32071299:+,32,39,33,31
18:32071398:+,24,28,25,35
18:32071973:+,17,35,33,25
18:32072115:+,25,25,30,32
18:32072155:+,39,37,32,29
18:58753332:+,31,32,38,25
19:10930129:+,27,25,25,31
19:12079390:+,36,31,32,24
19:12080806:+,27,40,32,26
19:12670968:-,26,29,30,27
19:12672568:-,24,29,40,35
19:13772619:+,41,29,27,33
19:13773028:+,31,36,24,30
19:13773040:+,24,32,18,32
19:13773047:+,29,31,29,27
19:13773059:+,25,37,18,25
19:13773147:+,32,27,27,38
19:13773191:+,38,33,30,19
19:13773205:+,27,29,23,32
19:13773361:+,28,23,34,36
19:13773384:+,24,24,30,33
19:13773416:+,38,32,22,29
19:13773757:+,34,26,24,24
19:13773912:+,20,29,28,28
19:13773924:+,26,22,21,30
19:13773927:+,23,24,28,34
19:14610598:+,24,29,23,27
19:14610605:+,29,30,22,30
19:14610618:+,26,32,29,32
19:14610684:+,28,27,39,28
19:14610685:+,31,24,43,25
19:14610717:+,35,27,27,37
19:14610740:+,34,26,31,34
19:14610781:+,24,29,27,27
19:14610788:+,28,21,37,23
19:14610794:+,29,35,26,28
19:14611400:+,33,36,27,37
19:14611690:+,27,34,33,39
19:14611729:+,33,31,28,32
19:14611737:+,29,36,32,26
19:14611746:+,25,25,35,25
19:14611791:+,21,29,31,29
19:14611805:+,27,33,33,28
19:14734291:-,31,28,25,26
19:14734323:-,27,34,23,28
19:14734348:-,35,40,42,40
19:14734350:-,28,33,34,36
19:14734437:-,41,23,36,44
19:14734608:-,36,31,34,40
19:14734644:-,24,24,33,22
19:14734650:-,35,30,32,41
19:14734663:-,33,25,12,27
19:14734668:-,38,28,27,25
19:14734701:-,37,45,24,22
19:14734717:-,37,24,35,22
19:15661100:+,29,24,23,29
19:15661101:+,29,27,27,30
19:15661114:+,36,27,28,44
19:15661150:+,32,31,33,26
19:15661157:+,27,27,33,40
19:15661206:+,22,40,33,23
19:15661211:+,30,27,33,27
19:15661251:+,31,30,29,31
19:15662215:+,31,39,31,30
19:17552139:+,31,19,29,26
19:17552177:+,32,29,32,29
19:17552178:+,32,34,19,29
19:17552212:+,29,22,26,28
19:17552261:+,35,32,31,29
19:17552278:+,38,31,26,39
19:17552352:+,23,29,30,25
19:17552370:+,26,33,32,28
19:17552400:+,30,24,34,37
19:17552437:+,24,29,20,31
19:17552438:+,30,34,37,36
19:17552485:+,31,38,19,35
19:17552652:+,22,21,35,32
19:17552661:+,39,26,32,39
19:17552674:+,34,33,34,21
19:17552675:+,23,25,29,28
19:17552680:+,27,25,25,33
19:17552683:+,34,29,25,37
19:17552777:+,36,36,23,35
19:17552817:+,30,33,29,34
19:17552828:+,30,33,30,33
19:17552838:+,30,27,27,33
19:17553031:+,34,28,33,30
19:17825711:-,33,27,31,37
19:17826308:-,30,28,26,29
19:17826378:-,41,22,31,31
19:18149698:+,32,32,33,36
19:18173936:+,23,32,22,24
19:18177740:+,32,34,27,30
19:18365365:+,26,36,30,30
19:18366898:+,36,23,29,32
19:18368011:+,26,44,30,26
19:18368074:+,35,37,29,34
19:19177384:-,31,37,27,26
19:19177394:-,25,33,33,19
19:19681494:+,28,27,29,29
19:19681646:+,31,33,30,33
19:19682267:+,35,32,28,46
19:19682923:+,34,24,30,36
19:20198687:+,33,17,42,22
19:20198783:+,31,31,29,31
19:20199510:+,19,34,22,23
19:2072922:-,23,40,28,23
19:2072971:-,39,25,29,30
19:21184264:+,28,26,29,37
19:2512165:-,23,32,23,27
19:3466357:+,30,26,39,36
19:35746747:+,32,20,24,31
19:38868138:-,30,27,19,32
19:38868225:-,19,32,31,36
19:38868387:-,29,28,21,28
19:38868429:-,28,37,18,33
19:38868459:-,19,26,30,26
19:38868509:-,34,27,43,24
19:38868521:-,24,21,32,35
19:38868549:-,39,35,28,29
19:38868588:-,29,33,27,38
19:38869066:-,32,27,28,33
19:39426983:+,28,36,25,34
19:39427166:+,32,36,24,17
19:39427504:+,35,30,31,23
19:39427589:+,28,28,26,30
19:39427968:+,24,29,31,30
19:41323065:+,30,29,39,36
19:41871485:+,27,29,36,32
19:41872625:+,24,32,36,29
19:41872633:+,32,30,38,29
19:41872642:+,15,29,31,25
19:41872774:+,34,35,28,36
19:4511817:+,27,23,35,25
19:4522774:-,30,34,33,27
19:4522826:-,24,42,33,30
19:4523012:-,30,25,37,32
19:4523035:-,36,28,29,30
19:47321816:+,34,29,23,38
19:47342090:+,26,30,35,26
19:47342098:+,27,30,27,30
19:47342099:+,37,29,31,38
19:47342104:+,26,26,26,33
19:47342619:+,33,26,23,27
19:47343547:+,32,35,31,24
19:47344199:+,24,44,32,29
19:48249812:-,30,29,37,27
19:48249840:-,33,20,22,29
19:48255828:-,28,32,30,37
19:48255860:-,30,36,25,33
19:5151479:+,33,26,30,33
19:51518411:-,29,30,25,34
19:51612339:-,31,26,28,22
19:51643652:-,35,26,34,37
19:52839309:-,26,26,37,36
19:55389284:+,29,28,39,31
19:55390413:+,35,41,31,35
19:57757103:+,24,23,34,25
19:57843026:+,17,27,30,33
19:57843226:+,29,22,30,38
19:57843243:+,40,26,34,37
19:57844421:+,36,24,37,37
19:57844442:+,29,29,31,32
19:57845109:+,33,32,29,29
19:57845789:+,36,34,30,37
19:57860468:+,26,29,26,21
19:57861973:+,26,34,37,22
19:5909552:+,34,30,28,26
19:5909553:+,35,32,25,33
19:5909608:+,38,35,22,35
19:5909618:+,25,32,20,39
19:5909628:+,33,30,35,27
19:5909649:+,23,26,35,28
19:5910413:+,30,33,29,31
19:5910657:+,25,41,31,29
19:5910723:+,29,27,34,25
19:9562242:-,29,24,32,27
19:9562833:-,32,32,28,29
19:9562853:-,29,34,35,35
19:9562995:-,32,19,21,32
19:9563661:-,29,29,29,39
19:9563674:-,27,36,36,27
1:10457994:-,30,28,28,28
1:148102826:-,32,33,29,34
1:149887303:-,28,34,32,35
1:149887583:+,31,28,30,30
1:150731017:-,29,24,27,30
1:150731108:-,32,30,31,32
1:150731136:-,30,28,34,32
1:150731142:-,25,33,23,25
1:150731170:-,25,21,30,30
1:150731195:-,32,33,29,25
1:150731202:-,33,19,28,29
1:150731221:-,32,32,19,23
1:150731238:-,40,28,33,30
1:150731239:-,34,34,33,27
1:150731243:-,26,34,29,27
1:150731265:-,26,25,31,32
1:150731268:-,39,20,33,31
1:150731275:-,28,34,22,34
1:150731287:-,26,28,28,31
1:150731300:-,21,31,32,35
1:150731304:-,26,31,36,35
1:150731305:-,26,27,32,23
1:150731310:-,39,34,37,32
1:150731335:-,38,36,28,27
1:150731343:-,22,32,32,25
1:150731361:-,24,22,33,21
1:150731383:-,28,30,28,23
1:150731385:-,37,31,24,26
1:150731936:-,28,29,33,27
1:150731941:-,35,35,35,32
1:150731966:-,34,24,30,36
1:150731971:-,33,30,25,27
1:150731999:-,31,26,32,27
1:150732006:-,43,33,28,25
1:150732009:-,28,27,37,29
1:150732023:-,23,27,23,34
1:150732031:-,29,35,27,34
1:150732067:-,31,35,24,31
1:150732071:-,31,40,34,30
1:150732108:-,30,34,28,40
1:150732128:-,26,33,20,26
1:150732136:-,24,30,31,23
1:150732177:-,33,28,32,31
1:150732182:-,24,30,33,36
1:150732735:-,33,26,25,30
1:150732739:-,33,27,24,32
1:150732771:-,28,30,31,33
1:150732801:-,37,35,30,37
1:150732809:-,31,29,34,31
1:150732828:-,31,27,39,33
1:150732855:-,28,32,34,24
1:151121699:+,40,35,31,28
1:151124328:+,36,33,39,29
1:151871158:-,37,30,20,23
1:15934353:+,28,28,27,29
1:160332453:-,17,28,34,26
1:160350196:+,25,28,28,32
1:160996510:-,23,31,37,27
1:160996560:-,27,26,15,43
1:160996561:-,30,33,26,30
1:160996582:-,38,24,24,27
1:160996682:-,31,31,29,28
1:160998025:-,41,31,15,26
1:160998147:-,25,28,31,27
1:161047799:-,31,31,35,21
1:1663537:-,33,25,29,22
1:1663567:-,26,34,36,34
1:1663581:-,21,34,32,29
1:1663585:-,25,29,43,34
1:1663591:-,22,30,43,25
1:1663608:-,35,24,28,28
1:1663634:-,30,29,30,31
1:1663740:-,26,26,24,34
1:17069157:-,38,27,33,30
1:184791988:-,24,30,32,32
1:184791994:-,19,34,37,28
1:184792044:-,19,29,24,35
1:184792053:-,28,22,28,30
1:184792094:-,23,42,31,30
1:184792139:-,22,38,27,27
1:184792177:-,39,22,20,38
1:184792215:-,26,24,31,32
1:184792226:-,28,32,27,28
1:184793337:-,30,35,27,35
1:184793352:-,33,28,26,27
1:184793389:-,22,29,30,38
1:184793446:-,22,30,31,27
1:184793455:-,33,19,27,36
1:184793541:-,30,25,35,23
1:204550605:+,32,23,35,32
1:204550649:+,41,29,29,30
1:204550768:+,28,28,26,27
1:204552031:+,22,24,31,29
1:204552193:+,24,28,29,29
1:204552583:+,26,31,35,19
1:204552595:+,37,22,32,32
1:204555617:+,27,36,34,21
1:204555677:+,30,35,31,26
1:204555717:+,37,38,29,22
1:204555821:+,27,26,32,34
1:204556404:+,18,33,25,25
1:204556419:+,35,30,28,33
1:204556450:+,31,34,24,32
1:204556462:+,28,28,25,35
1:204556471:+,42,23,33,31
1:204556512:+,31,32,27,35
1:204556519:+,35,21,32,26
1:204556558:+,34,37,20,22
1:204556584:+,30,25,31,31
1:204556652:+,26,24,36,32
1:204556661:+,23,34,31,14
1:204557425:+,26,31,32,26
1:204557466:+,27,19,27,33
1:204557502:+,31,22,28,31
1:204557531:+,44,28,42,43
1:204557623:+,32,30,28,38
1:204557666:+,40,32,36,36
1:212816222:+,24,26,20,32
1:225846244:-,25,25,24,33
1:225983638:-,32,40,33,38
1:225983698:-,36,28,23,33
1:225984620:-,24,30,21,32
1:24537642:+,30,38,28,35
1:24537828:+,41,33,18,23
1:24538468:+,31,26,35,31
1:24538697:+,36,33,35,27
1:24538857:+,24,42,26,28
1:26879110:-,44,31,31,29
1:28498857:+,21,24,36,40
1:28499572:+,31,28,39,41
1:35602075:-,31,33,32,31
1:35602147:-,41,23,29,25
1:35602150:-,25,20,23,41
1:35602182:-,29,27,20,29
1:35602215:-,25,34,33,26
1:35602564:-,32,26,42,23
1:35602608:-,31,28,28,33
1:35602629:-,41,29,32,32
1:35602723:-,35,26,31,35
1:35602768:-,26,26,32,26
1:3780492:-,36,30,31,37
1:37860921:-,25,28,25,28
1:37860970:-,25,31,32,31
1:37861027:-,26,30,28,28
1:37861055:-,32,33,38,32
1:37861065:-,29,26,27,28
1:37861101:-,29,33,25,37
1:37862027:-,29,27,27,26
1:52823874:+,33,42,25,40
1:6522364:-,38,40,33,41
1:66985111:+,23,28,28,33
1:66985165:+,35,34,28,40
1:89182619:-,34,30,26,29
1:89182705:-,40,29,28,22
1:89182751:-,28,27,29,33
1:89183643:-,33,33,25,34
1:89183685:-,33,28,38,25
1:89183695:-,39,27,37,33
1:89183803:-,35,24,21,25
1:89183838:-,36,28,24,33
1:89183865:-,36,32,38,35
1:9266897:+,30,33,38,30
20:20390866:-,22,27,29,25
20:36891631:-,32,28,30,22
20:36892531:-,24,29,33,29
20:36892555:-,19,31,30,31
20:36892573:-,40,24,38,33
20:37519160:-,32,21,41,27
20:37519169:-,26,27,35,38
20:37519232:-,29,41,35,27
20:3869565:+,37,29,22,41
20:3869813:+,25,33,39,33
20:3869839:+,32,28,30,29
20:3869866:+,29,26,35,26
20:3872210:+,36,41,35,28
20:3872213:+,32,24,31,24
20:3872376:+,33,31,26,28
20:3872412:+,40,31,32,23
20:3928531:-,36,34,32,34
20:3928567:-,22,24,27,34
20:3928592:-,34,32,35,35
20:3928618:-,33,27,27,37
20:3928671:-,29,38,33,35
20:3928883:-,42,32,31,30
20:3928930:-,36,23,30,30
20:3928933:-,37,33,29,31
