,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
22:17113458:+,0.0,38.0,41.0,40.0,41.0,0.0,47.0,41.0
22:24573660:+,38.0,44.0,39.0,0.0,36.0,23.0,0.0,36.0
22:39018766:+,72.0,102.0,59.0,65.0,65.0,42.0,33.0,52.0
22:39018906:+,51.0,52.0,49.0,52.0,59.0,25.0,27.0,54.0
22:39019866:+,52.0,53.0,57.0,48.0,55.0,30.0,27.0,38.0
22:39020075:+,51.0,93.0,57.0,54.0,50.0,0.0,24.0,45.0
22:39032721:+,0.0,19.0,19.0,10.0,30.0,19.0,0.0,18.0
22:39032848:+,16.0,22.0,17.0,15.0,21.0,0.0,0.0,14.0
2:201164009:+,71.0,87.0,65.0,63.0,0.0,51.0,0.0,60.0
2:201164143:+,54.0,61.0,48.0,54.0,0.0,0.0,33.0,34.0
2:201219194:+,27.0,0.0,20.0,30.0,46.0,23.0,0.0,24.0
2:201286638:+,44.0,52.0,42.0,47.0,99.0,73.0,69.0,69.0
2:201287382:+,55.0,48.0,53.0,34.0,53.0,33.0,35.0,49.0
3:10151790:+,60.0,56.0,66.0,58.0,62.0,0.0,40.0,78.0
3:10152309:+,44.0,47.0,56.0,53.0,61.0,30.0,38.0,51.0
3:10152592:+,0.0,23.0,27.0,0.0,34.0,25.0,23.0,24.0
3:10152688:+,29.0,29.0,37.0,35.0,52.0,29.0,23.0,38.0
3:10152870:+,33.0,41.0,24.0,34.0,64.0,23.0,22.0,42.0
3:10152908:+,37.0,47.0,37.0,0.0,56.0,28.0,0.0,44.0
3:10153156:+,65.0,64.0,51.0,51.0,78.0,0.0,45.0,0.0
3:10153205:+,42.0,49.0,49.0,38.0,73.0,0.0,40.0,40.0
3:156541617:-,19.0,23.0,14.0,0.0,30.0,0.0,13.0,26.0
4:2839693:+,27.0,23.0,30.0,24.0,0.0,26.0,0.0,28.0
4:2839824:+,32.0,36.0,30.0,0.0,35.0,25.0,0.0,24.0
6:42889292:+,25.0,29.0,24.0,27.0,26.0,21.0,11.0,33.0
7:17345193:+,0.0,28.0,19.0,0.0,68.0,50.0,22.0,36.0
7:17345207:+,15.0,40.0,18.0,0.0,70.0,47.0,28.0,38.0
7:17345257:+,29.0,35.0,24.0,28.0,52.0,47.0,0.0,0.0
7:44801919:+,0.0,28.0,39.0,40.0,44.0,26.0,0.0,44.0
7:44802499:+,0.0,47.0,42.0,43.0,55.0,0.0,32.0,34.0
8:11842853:-,44.0,66.0,49.0,29.0,46.0,36.0,41.0,63.0
8:11842909:-,44.0,55.0,41.0,31.0,57.0,26.0,33.0,53.0
8:11843166:-,28.0,47.0,24.0,28.0,33.0,18.0,19.0,33.0
8:11843919:-,85.0,85.0,81.0,71.0,65.0,0.0,43.0,52.0
8:11843931:-,100.0,101.0,88.0,78.0,65.0,44.0,49.0,57.0
8:11843948:-,74.0,64.0,51.0,42.0,40.0,31.0,31.0,45.0
8:11843999:-,60.0,84.0,0.0,0.0,42.0,24.0,36.0,32.0
8:30678633:-,46.0,43.0,46.0,51.0,69.0,34.0,34.0,32.0
8:38971825:+,54.0,49.0,0.0,47.0,56.0,41.0,0.0,37.0
8:38972234:+,31.0,37.0,46.0,0.0,62.0,31.0,32.0,36.0
8:38972255:+,48.0,45.0,52.0,0.0,59.0,0.0,38.0,43.0
9:134906167:-,58.0,70.0,52.0,35.0,86.0,51.0,0.0,49.0
X:15782971:+,0.0,16.0,0.0,19.0,24.0,17.0,27.0,18.0
X:77828119:-,30.0,27.0,28.0,0.0,33.0,0.0,18.0,17.0
